VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
904, 13243, -0.05798, -0.09624, -0.02358, -0.26311, -0.95015,  0.04859, -0.27065, -0.9492,  0.01378, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62798,  0.90071
905, 13242, -0.07287, -0.08906, -0.05124, -0.32744, -0.93019, -0.07522, -0.20567, -0.9672,  0.00212,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.60896,  0.91878
906, 13243, -0.05798, -0.09624, -0.02358, -0.26311, -0.95015,  0.04859, -0.27065, -0.9492,  0.01378, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62798,  0.90071
907, 13244, -0.08343, -0.08266, -0.03563, -0.39105, -0.91221, -0.1221, -0.31769, -0.94496, -0.07801,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.61786,  0.93192
908, 13242, -0.07287, -0.08906, -0.05124, -0.32744, -0.93019, -0.07522, -0.20567, -0.9672,  0.00212,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.60896,  0.91878
909, 13243, -0.05798, -0.09624, -0.02358, -0.26311, -0.95015,  0.04859, -0.27065, -0.9492,  0.01378, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62798,  0.90071
910, 13239, -0.05761, -0.09683,  0.00101, -0.29599, -0.9514, -0.03487, -0.29935, -0.95035, -0.03476,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.64289,  0.90071
911, 13245, -0.08286, -0.08383,  0.00007, -0.37995, -0.92498, -0.00012, -0.35978, -0.93298,  0.00794,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.64289,  0.92851
912, 13243, -0.05798, -0.09624, -0.02358, -0.26311, -0.95015,  0.04859, -0.27065, -0.9492,  0.01378, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62798,  0.90071
913, 13246, -0.08332, -0.08442, -0.02092, -0.38952, -0.92096, -0.00699, -0.3724, -0.92733, -0.03651, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62814,  0.93121
914, 13244, -0.08343, -0.08266, -0.03563, -0.39105, -0.91221, -0.1221, -0.31769, -0.94496, -0.07801,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.61786,  0.93192
915, 13243, -0.05798, -0.09624, -0.02358, -0.26311, -0.95015,  0.04859, -0.27065, -0.9492,  0.01378, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62798,  0.90071
916, 13245, -0.08286, -0.08383,  0.00007, -0.37995, -0.92498, -0.00012, -0.35978, -0.93298,  0.00794,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.64289,  0.92851
917, 13246, -0.08332, -0.08442, -0.02092, -0.38952, -0.92096, -0.00699, -0.3724, -0.92733, -0.03651, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62814,  0.93121
918, 13244, -0.08343, -0.08266, -0.03563, -0.39105, -0.91221, -0.1221, -0.31769, -0.94496, -0.07801,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.61786,  0.93192
919, 13246, -0.08332, -0.08442, -0.02092, -0.38952, -0.92096, -0.00699, -0.3724, -0.92733, -0.03651, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62814,  0.93121
920, 13247, -0.09694, -0.07971, -0.01992, -0.33371, -0.94256,  0.01169, -0.25005, -0.96614,  0.06312,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62816,  0.94551
921, 13246, -0.08332, -0.08442, -0.02092, -0.38952, -0.92096, -0.00699, -0.3724, -0.92733, -0.03651, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62814,  0.93121
922, 13245, -0.08286, -0.08383,  0.00007, -0.37995, -0.92498, -0.00012, -0.35978, -0.93298,  0.00794,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.64289,  0.92851
923, 13247, -0.09694, -0.07971, -0.01992, -0.33371, -0.94256,  0.01169, -0.25005, -0.96614,  0.06312,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62816,  0.94551
924, 13245, -0.08286, -0.08383,  0.00007, -0.37995, -0.92498, -0.00012, -0.35978, -0.93298,  0.00794,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.64289,  0.92851
925, 13248, -0.10864, -0.0751,  0.00027, -0.33197, -0.94322,  0.00394, -0.16183, -0.98675, -0.00613, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.64289,  0.95622
926, 13247, -0.09694, -0.07971, -0.01992, -0.33371, -0.94256,  0.01169, -0.25005, -0.96614,  0.06312,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62816,  0.94551
927, 13248, -0.10864, -0.0751,  0.00027, -0.33197, -0.94322,  0.00394, -0.16183, -0.98675, -0.00613, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.64289,  0.95622
928, 13249, -0.10832, -0.07581, -0.00834, -0.27554, -0.95887,  0.06734, -0.00339, -0.98675,  0.16195,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.63629,  0.9566
929, 13247, -0.09694, -0.07971, -0.01992, -0.33371, -0.94256,  0.01169, -0.25005, -0.96614,  0.06312,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.62816,  0.94551
930, 13250, -0.02113, -0.08515, -0.10423, -0.19631, -0.88116, -0.42053, -0.21365, -0.84529, -0.48133, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.86805
931, 13236, -0.03805, -0.08685, -0.09536, -0.17675, -0.93134, -0.30511,  0.08332, -0.95012, -0.28466,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.58151,  0.88552
932, 13251, -0.02113, -0.0634, -0.11865, -0.2226, -0.61313, -0.75447,  0.00231, -0.70918, -0.70102,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.55394,  0.86805
933, 13251, -0.02113, -0.0634, -0.11865, -0.2226, -0.61313, -0.75447,  0.00231, -0.70918, -0.70102,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.55394,  0.86805
934, 13252,  0.01229, -0.08908, -0.1114, -0.18973, -0.89246, -0.39915, -0.19847, -0.83758, -0.50075, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.83618
935, 13250, -0.02113, -0.08515, -0.10423, -0.19631, -0.88116, -0.42053, -0.21365, -0.84529, -0.48133, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.86805
936, 13251, -0.02113, -0.0634, -0.11865, -0.2226, -0.61313, -0.75447,  0.00231, -0.70918, -0.70102,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.55394,  0.86805
937, 13253,  0.01082, -0.06581, -0.12589, -0.18808, -0.58293, -0.7869, -0.19372, -0.57619, -0.79049, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.55421,  0.83618
938, 13252,  0.01229, -0.08908, -0.1114, -0.18973, -0.89246, -0.39915, -0.19847, -0.83758, -0.50075, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.83618
939, 13254,  0.04477, -0.09332, -0.11784, -0.18606, -0.82016, -0.53306, -0.17944, -0.773, -0.60129, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.80429
940, 13252,  0.01229, -0.08908, -0.1114, -0.18973, -0.89246, -0.39915, -0.19847, -0.83758, -0.50075, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.83618
941, 13253,  0.01082, -0.06581, -0.12589, -0.18808, -0.58293, -0.7869, -0.19372, -0.57619, -0.79049, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.55421,  0.83618
942, 13254,  0.04477, -0.09332, -0.11784, -0.18606, -0.82016, -0.53306, -0.17944, -0.773, -0.60129, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.80429
943, 13253,  0.01082, -0.06581, -0.12589, -0.18808, -0.58293, -0.7869, -0.19372, -0.57619, -0.79049, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.55421,  0.83618
944, 13255,  0.03973, -0.0369, -0.14341, -0.21193, -0.4378, -0.87374, -0.20172, -0.44249, -0.87379,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5315,  0.80429
945, 13255,  0.03973, -0.0369, -0.14341, -0.21193, -0.4378, -0.87374, -0.20172, -0.44249, -0.87379,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5315,  0.80429
946, 13256,  0.07885, -0.09739, -0.12412, -0.19221, -0.77843, -0.59027, -0.1747, -0.90777, -0.37018,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.57381,  0.77148
947, 13254,  0.04477, -0.09332, -0.11784, -0.18606, -0.82016, -0.53306, -0.17944, -0.773, -0.60129, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.80429
948, 13257,  0.00843, -0.03844, -0.13526, -0.2239, -0.3899, -0.89322, -0.22015, -0.40208, -0.88874,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53339,  0.83618
949, 13253,  0.01082, -0.06581, -0.12589, -0.18808, -0.58293, -0.7869, -0.19372, -0.57619, -0.79049, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.55421,  0.83618
950, 13251, -0.02113, -0.0634, -0.11865, -0.2226, -0.61313, -0.75447,  0.00231, -0.70918, -0.70102,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.55394,  0.86805
951, 13255,  0.03973, -0.0369, -0.14341, -0.21193, -0.4378, -0.87374, -0.20172, -0.44249, -0.87379,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5315,  0.80429
952, 13253,  0.01082, -0.06581, -0.12589, -0.18808, -0.58293, -0.7869, -0.19372, -0.57619, -0.79049, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.55421,  0.83618
953, 13257,  0.00843, -0.03844, -0.13526, -0.2239, -0.3899, -0.89322, -0.22015, -0.40208, -0.88874,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53339,  0.83618
954, 13257,  0.00843, -0.03844, -0.13526, -0.2239, -0.3899, -0.89322, -0.22015, -0.40208, -0.88874,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53339,  0.83618
955, 13251, -0.02113, -0.0634, -0.11865, -0.2226, -0.61313, -0.75447,  0.00231, -0.70918, -0.70102,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.55394,  0.86805
956, 13258, -0.01262, -0.03892, -0.13035, -0.2211, -0.4023, -0.8882,  0.07189, -0.43485, -0.89756,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53609,  0.85665
957, 13258, -0.01262, -0.03892, -0.13035, -0.2211, -0.4023, -0.8882,  0.07189, -0.43485, -0.89756,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53609,  0.85665
958, 13259,  0.0021, -0.00597, -0.1457, -0.23257, -0.33762, -0.9121, -0.24608, -0.30555, -0.91983, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.83618
959, 13257,  0.00843, -0.03844, -0.13526, -0.2239, -0.3899, -0.89322, -0.22015, -0.40208, -0.88874,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53339,  0.83618
960, 13259,  0.0021, -0.00597, -0.1457, -0.23257, -0.33762, -0.9121, -0.24608, -0.30555, -0.91983, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.83618
961, 13255,  0.03973, -0.0369, -0.14341, -0.21193, -0.4378, -0.87374, -0.20172, -0.44249, -0.87379,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5315,  0.80429
962, 13257,  0.00843, -0.03844, -0.13526, -0.2239, -0.3899, -0.89322, -0.22015, -0.40208, -0.88874,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53339,  0.83618
963, 13258, -0.01262, -0.03892, -0.13035, -0.2211, -0.4023, -0.8882,  0.07189, -0.43485, -0.89756,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53609,  0.85665
964, 13260, -0.01638, -0.00631, -0.14027, -0.22886, -0.31154, -0.92195,  0.07063, -0.18452, -0.98017, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.85513
965, 13259,  0.0021, -0.00597, -0.1457, -0.23257, -0.33762, -0.9121, -0.24608, -0.30555, -0.91983, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.83618
966, 13259,  0.0021, -0.00597, -0.1457, -0.23257, -0.33762, -0.9121, -0.24608, -0.30555, -0.91983, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.83618
967, 13261,  0.03346, -0.00563, -0.15446, -0.2274, -0.36306, -0.90359, -0.23389, -0.35891, -0.90359, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.80429
968, 13255,  0.03973, -0.0369, -0.14341, -0.21193, -0.4378, -0.87374, -0.20172, -0.44249, -0.87379,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5315,  0.80429
969, 13262,  0.06735, -0.00596, -0.16301, -0.22024, -0.38519, -0.89617, -0.22359, -0.38096, -0.89715, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.77148
970, 13255,  0.03973, -0.0369, -0.14341, -0.21193, -0.4378, -0.87374, -0.20172, -0.44249, -0.87379,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5315,  0.80429
971, 13261,  0.03346, -0.00563, -0.15446, -0.2274, -0.36306, -0.90359, -0.23389, -0.35891, -0.90359, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.80429
972, 13262,  0.06735, -0.00596, -0.16301, -0.22024, -0.38519, -0.89617, -0.22359, -0.38096, -0.89715, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.77148
973, 13263,  0.07389, -0.03902, -0.15039, -0.22028, -0.45468, -0.86299, -0.21956, -0.44422, -0.8686, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53236,  0.77148
974, 13255,  0.03973, -0.0369, -0.14341, -0.21193, -0.4378, -0.87374, -0.20172, -0.44249, -0.87379,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5315,  0.80429
975, 13255,  0.03973, -0.0369, -0.14341, -0.21193, -0.4378, -0.87374, -0.20172, -0.44249, -0.87379,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5315,  0.80429
976, 13263,  0.07389, -0.03902, -0.15039, -0.22028, -0.45468, -0.86299, -0.21956, -0.44422, -0.8686, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53236,  0.77148
977, 13256,  0.07885, -0.09739, -0.12412, -0.19221, -0.77843, -0.59027, -0.1747, -0.90777, -0.37018,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.57381,  0.77148
978, 13263,  0.07389, -0.03902, -0.15039, -0.22028, -0.45468, -0.86299, -0.21956, -0.44422, -0.8686, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53236,  0.77148
979, 13262,  0.06735, -0.00596, -0.16301, -0.22024, -0.38519, -0.89617, -0.22359, -0.38096, -0.89715, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.77148
980, 13264,  0.12919, -0.00729, -0.17789, -0.22216, -0.3899, -0.89366, -0.22187, -0.38823, -0.89445, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.71141
981, 13256,  0.07885, -0.09739, -0.12412, -0.19221, -0.77843, -0.59027, -0.1747, -0.90777, -0.37018,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.57381,  0.77148
982, 13263,  0.07389, -0.03902, -0.15039, -0.22028, -0.45468, -0.86299, -0.21956, -0.44422, -0.8686, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53236,  0.77148
983, 13265,  0.13632, -0.04367, -0.16349, -0.22183, -0.45096, -0.86454, -0.22156, -0.44202, -0.86921, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53373,  0.71141
984, 13263,  0.07389, -0.03902, -0.15039, -0.22028, -0.45468, -0.86299, -0.21956, -0.44422, -0.8686, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53236,  0.77148
985, 13264,  0.12919, -0.00729, -0.17789, -0.22216, -0.3899, -0.89366, -0.22187, -0.38823, -0.89445, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.71141
986, 13265,  0.13632, -0.04367, -0.16349, -0.22183, -0.45096, -0.86454, -0.22156, -0.44202, -0.86921, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53373,  0.71141
987, 13256,  0.07885, -0.09739, -0.12412, -0.19221, -0.77843, -0.59027, -0.1747, -0.90777, -0.37018,  1.00,  1.00,  0.50196,  0.50196,  0.00,  0.57381,  0.77148
988, 13265,  0.13632, -0.04367, -0.16349, -0.22183, -0.45096, -0.86454, -0.22156, -0.44202, -0.86921, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53373,  0.71141
989, 13266,  0.14556, -0.09729, -0.13687, -0.21263, -0.5245, -0.8215, -0.20326, -0.76945, -0.60166,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.71141
990, 13265,  0.13632, -0.04367, -0.16349, -0.22183, -0.45096, -0.86454, -0.22156, -0.44202, -0.86921, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53373,  0.71141
991, 13267,  0.21587, -0.102, -0.15243, -0.21238, -0.48277, -0.84757, -0.21185, -0.55424, -0.80281,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.65087
992, 13266,  0.14556, -0.09729, -0.13687, -0.21263, -0.5245, -0.8215, -0.20326, -0.76945, -0.60166,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.71141
993, 13264,  0.12919, -0.00729, -0.17789, -0.22216, -0.3899, -0.89366, -0.22187, -0.38823, -0.89445, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.71141
994, 13268,  0.2066, -0.04879, -0.17988, -0.21548, -0.43129, -0.87423, -0.21586, -0.4222, -0.87857, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53393,  0.65087
995, 13265,  0.13632, -0.04367, -0.16349, -0.22183, -0.45096, -0.86454, -0.22156, -0.44202, -0.86921, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53373,  0.71141
996, 13265,  0.13632, -0.04367, -0.16349, -0.22183, -0.45096, -0.86454, -0.22156, -0.44202, -0.86921, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53373,  0.71141
997, 13268,  0.2066, -0.04879, -0.17988, -0.21548, -0.43129, -0.87423, -0.21586, -0.4222, -0.87857, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53393,  0.65087
998, 13267,  0.21587, -0.102, -0.15243, -0.21238, -0.48277, -0.84757, -0.21185, -0.55424, -0.80281,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.65087
999, 13264,  0.12919, -0.00729, -0.17789, -0.22216, -0.3899, -0.89366, -0.22187, -0.38823, -0.89445, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.71141
1000, 13269,  0.20009, -0.0091, -0.19431, -0.21759, -0.36317, -0.90411, -0.21537, -0.36224, -0.90501, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.65087
1001, 13268,  0.2066, -0.04879, -0.17988, -0.21548, -0.43129, -0.87423, -0.21586, -0.4222, -0.87857, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53393,  0.65087
1002, 13268,  0.2066, -0.04879, -0.17988, -0.21548, -0.43129, -0.87423, -0.21586, -0.4222, -0.87857, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53393,  0.65087
1003, 13269,  0.20009, -0.0091, -0.19431, -0.21759, -0.36317, -0.90411, -0.21537, -0.36224, -0.90501, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.65087
1004, 13270,  0.26885, -0.01088, -0.20876, -0.20835, -0.32755, -0.91831, -0.20612, -0.32778, -0.91873,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.57576
1005, 13267,  0.21587, -0.102, -0.15243, -0.21238, -0.48277, -0.84757, -0.21185, -0.55424, -0.80281,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.65087
1006, 13268,  0.2066, -0.04879, -0.17988, -0.21548, -0.43129, -0.87423, -0.21586, -0.4222, -0.87857, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53393,  0.65087
1007, 13271,  0.2746, -0.05369, -0.19488, -0.20936, -0.41717, -0.88134, -0.20974, -0.40597, -0.88646, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53333,  0.57576
1008, 13268,  0.2066, -0.04879, -0.17988, -0.21548, -0.43129, -0.87423, -0.21586, -0.4222, -0.87857, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53393,  0.65087
1009, 13270,  0.26885, -0.01088, -0.20876, -0.20835, -0.32755, -0.91831, -0.20612, -0.32778, -0.91873,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.57576
1010, 13271,  0.2746, -0.05369, -0.19488, -0.20936, -0.41717, -0.88134, -0.20974, -0.40597, -0.88646, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53333,  0.57576
1011, 13267,  0.21587, -0.102, -0.15243, -0.21238, -0.48277, -0.84757, -0.21185, -0.55424, -0.80281,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.65087
1012, 13271,  0.2746, -0.05369, -0.19488, -0.20936, -0.41717, -0.88134, -0.20974, -0.40597, -0.88646, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53333,  0.57576
1013, 13272,  0.28218, -0.11, -0.16544, -0.20546, -0.47314, -0.8533, -0.20281, -0.47247, -0.85431, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.57576
1014, 13273,  0.35165, -0.12053, -0.18004, -0.17836, -0.41148, -0.89045, -0.17633, -0.41077, -0.89118, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.50478
1015, 13272,  0.28218, -0.11, -0.16544, -0.20546, -0.47314, -0.8533, -0.20281, -0.47247, -0.85431, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.57576
1016, 13271,  0.2746, -0.05369, -0.19488, -0.20936, -0.41717, -0.88134, -0.20974, -0.40597, -0.88646, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53333,  0.57576
1017, 13274,  0.33829, -0.01176, -0.21814, -0.17792, -0.24624, -0.94923, -0.17604, -0.24632, -0.94956,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.50478
1018, 13271,  0.2746, -0.05369, -0.19488, -0.20936, -0.41717, -0.88134, -0.20974, -0.40597, -0.88646, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53333,  0.57576
1019, 13270,  0.26885, -0.01088, -0.20876, -0.20835, -0.32755, -0.91831, -0.20612, -0.32778, -0.91873,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.57576
1020, 13273,  0.35165, -0.12053, -0.18004, -0.17836, -0.41148, -0.89045, -0.17633, -0.41077, -0.89118, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.50478
1021, 13271,  0.2746, -0.05369, -0.19488, -0.20936, -0.41717, -0.88134, -0.20974, -0.40597, -0.88646, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53333,  0.57576
1022, 13275,  0.34446, -0.0595, -0.20673, -0.17849, -0.33976, -0.92006, -0.17826, -0.32843, -0.92421, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53388,  0.50478
1023, 13274,  0.33829, -0.01176, -0.21814, -0.17792, -0.24624, -0.94923, -0.17604, -0.24632, -0.94956,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.50478
1024, 13275,  0.34446, -0.0595, -0.20673, -0.17849, -0.33976, -0.92006, -0.17826, -0.32843, -0.92421, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53388,  0.50478
1025, 13271,  0.2746, -0.05369, -0.19488, -0.20936, -0.41717, -0.88134, -0.20974, -0.40597, -0.88646, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53333,  0.57576
1026, 13276,  0.42211, -0.13016, -0.19165, -0.16076, -0.37944, -0.90966, -0.15926, -0.37874, -0.91022, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.43393
1027, 13273,  0.35165, -0.12053, -0.18004, -0.17836, -0.41148, -0.89045, -0.17633, -0.41077, -0.89118, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.50478
1028, 13275,  0.34446, -0.0595, -0.20673, -0.17849, -0.33976, -0.92006, -0.17826, -0.32843, -0.92421, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53388,  0.50478
1029, 13277,  0.41942, -0.06571, -0.21832, -0.15892, -0.29815, -0.93954, -0.15816, -0.28684, -0.94317, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5351,  0.42917
1030, 13275,  0.34446, -0.0595, -0.20673, -0.17849, -0.33976, -0.92006, -0.17826, -0.32843, -0.92421, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53388,  0.50478
1031, 13274,  0.33829, -0.01176, -0.21814, -0.17792, -0.24624, -0.94923, -0.17604, -0.24632, -0.94956,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.50478
1032, 13276,  0.42211, -0.13016, -0.19165, -0.16076, -0.37944, -0.90966, -0.15926, -0.37874, -0.91022, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.57381,  0.43393
1033, 13275,  0.34446, -0.0595, -0.20673, -0.17849, -0.33976, -0.92006, -0.17826, -0.32843, -0.92421, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.53388,  0.50478
1034, 13277,  0.41942, -0.06571, -0.21832, -0.15892, -0.29815, -0.93954, -0.15816, -0.28684, -0.94317, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5351,  0.42917
1035, 13277,  0.41942, -0.06571, -0.21832, -0.15892, -0.29815, -0.93954, -0.15816, -0.28684, -0.94317, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5351,  0.42917
1036, 13274,  0.33829, -0.01176, -0.21814, -0.17792, -0.24624, -0.94923, -0.17604, -0.24632, -0.94956,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.50478
1037, 13278,  0.41739, -0.01334, -0.22801, -0.15061, -0.18507, -0.96976, -0.14792, -0.18504, -0.97018,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.42511
1038, 13277,  0.41942, -0.06571, -0.21832, -0.15892, -0.29815, -0.93954, -0.15816, -0.28684, -0.94317, -1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.5351,  0.42917
1039, 13278,  0.41739, -0.01334, -0.22801, -0.15061, -0.18507, -0.96976, -0.14792, -0.18504, -0.97018,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50472,  0.42511
1040, 13279,  0.5014, -0.01575, -0.23723, -0.12297, -0.1407, -0.98198, -0.11989, -0.14162, -0.98223,  1.00,  1.00,  0.50196,  0.50196,  0.50196,  0.50467,  0.34855
